EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
FIRST,2,4,PCa_R01,P2,0.0034
FIRST,1,3,PCa_R02,Pi,0.0028
FIRST,1,3,PCa_R02,P1,0.0024
FIRST,1,3,PCa_R02,P2,0.0028
SECOND,1,3,PCa_R03,Pi,0.0018
SECOND,1,3,PCa_R03,P1,0.0017
SECOND,1,3,PCa_R03,P2,0.0017
SECOND,4,8,PCa_R07_dup,Pi,0.0027
SECOND,4,8,PCa_R07_dup,P1,0.0027
SECOND,4,8,PCa_R07_dup,P2,0.0027
THIRD,2,4,PCa_R26,Pi,0.0053
THIRD,2,4,PCa_R26,P1,0.0041
THIRD,2,4,PCa_R26,P2,0.0041
THIRD,2,4,PCa_R27_dup,Pi,0.0066
THIRD,2,4,PCa_R27_dup,P1,0.005
THIRD,2,4,PCa_R27_dup,P2,0.0049
THIRD,1,3,PCa_R28,Pi,0.0037
THIRD,1,3,PCa_R28,P1,0.0033
THIRD,1,3,PCa_R28,P2,0.0032
THIRD,1,3,PCa_R30,Pi,0.0033
THIRD,1,3,PCa_R30,P1,0.0032
THIRD,1,3,PCa_R30,P2,0.0032
THIRD,1,3,PCa_R33,Pi,0.0037
THIRD,1,3,PCa_R33,P1,0.0035
THIRD,1,3,PCa_R33,P2,0.0034
THIRD,1,3,PCa_R34,Pi,0.0041
THIRD,1,3,PCa_R34,P1,0.004
THIRD,1,3,PCa_R34,P2,0.004
THIRD,1,3,PCa_R36,Pi,0.0048
THIRD,1,3,PCa_R36,P1,0.0037
THIRD,1,3,PCa_R36,P2,0.0035
THIRD,4,8,PCa_R37,Pi,0.0041
THIRD,4,8,PCa_R37,P1,0.0037
THIRD,4,8,PCa_R37,P2,0.0033
THIRD,4,8,PCa_R38,Pi,0.0029
THIRD,4,8,PCa_R38,P1,0.0028
THIRD,4,8,PCa_R38,P2,0.0026
